year,locale,race,rate_per_100k
2006,US,All races,11.12
2007,US,All races,11.33
2008,US,All races,11.44
2009,US,All races,11.45
2010,US,All races,12.2
2011,US,All races,12.75
2012,US,All races,12.85
2013,US,All races,12.91
2014,US,All races,13.3
2015,US,All races,14.14
2006,US,American Indian or Alaska Native,19.59
2007,US,American Indian or Alaska Native,19.88
2008,US,American Indian or Alaska Native,20.64
2009,US,American Indian or Alaska Native,21.32
2010,US,American Indian or Alaska Native,18.33
2011,US,American Indian or Alaska Native,16.06
2012,US,American Indian or Alaska Native,18.76
2013,US,American Indian or Alaska Native,19.41
2014,US,American Indian or Alaska Native,17.87
2015,US,American Indian or Alaska Native,20.52
