"year","fips","race","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","age_group","age_group_population","total_race_group_population_all_ages"
"2015","01001","All races","01","001","Autauga County","Alabama","AL","Metropolitan","Under 25",18902,55221
"2015","01001","All races","01","001","Autauga County","Alabama","AL","Metropolitan","Age 25-44",14440,55221
"2015","01001","All races","01","001","Autauga County","Alabama","AL","Metropolitan","Age 45-64",14401,55221
"2015","01001","All races","01","001","Autauga County","Alabama","AL","Metropolitan","Over 65",7478,55221
"2015","01001","American Indian or Alaska Native","01","001","Autauga County","Alabama","AL","Metropolitan","Age 25-44",52,230
"2015","01001","American Indian or Alaska Native","01","001","Autauga County","Alabama","AL","Metropolitan","Age 45-64",30,230
"2015","01001","American Indian or Alaska Native","01","001","Autauga County","Alabama","AL","Metropolitan","Over 65",36,230
"2015","01001","American Indian or Alaska Native","01","001","Autauga County","Alabama","AL","Metropolitan","Under 25",112,230
"2015","01003","All races","01","003","Baldwin County","Alabama","AL","Metropolitan","Age 25-44",47367,195121
"2015","01003","All races","01","003","Baldwin County","Alabama","AL","Metropolitan","Over 65",35376,195121
"2015","01003","All races","01","003","Baldwin County","Alabama","AL","Metropolitan","Under 25",58120,195121
"2015","01003","All races","01","003","Baldwin County","Alabama","AL","Metropolitan","Age 45-64",54258,195121
"2015","01003","American Indian or Alaska Native","01","003","Baldwin County","Alabama","AL","Metropolitan","Under 25",221,1166
"2015","01003","American Indian or Alaska Native","01","003","Baldwin County","Alabama","AL","Metropolitan","Age 25-44",253,1166
"2015","01003","American Indian or Alaska Native","01","003","Baldwin County","Alabama","AL","Metropolitan","Age 45-64",538,1166
"2015","01003","American Indian or Alaska Native","01","003","Baldwin County","Alabama","AL","Metropolitan","Over 65",154,1166
"2015","01005","All races","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Age 25-44",7230,26932
"2015","01005","All races","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Over 65",4325,26932
"2015","01005","All races","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Under 25",8124,26932
"2015","01005","All races","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Age 45-64",7253,26932
"2015","01005","American Indian or Alaska Native","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Over 65",21,52
"2015","01005","American Indian or Alaska Native","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Age 25-44",15,52
