"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","age_group","age_group_population","total_population_all_ages"
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Age 25-44",14639,53155
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Age 45-64",13185,53155
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Under 25",19271,53155
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Age 65+",6060,53155
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Age 25-44",43354,175791
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Age 45-64",49216,175791
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Under 25",54231,175791
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Age 65+",28990,175791
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Age 25-44",7588,27699
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Age 65+",3806,27699
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Under 25",8820,27699
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Age 45-64",7485,27699
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Under 25",7528,22610
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Age 65+",2812,22610
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Age 25-44",6358,22610
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Age 45-64",5912,22610
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Age 65+",8054,56692
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Age 45-64",15019,56692
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Under 25",18607,56692
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Age 25-44",15012,56692
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Age 65+",1328,10923
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Age 45-64",3227,10923
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Under 25",3622,10923
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Age 25-44",2746,10923
"2010","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Age 45-64",5729,20895
"2010","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Age 25-44",4888,20895
"2010","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Age 65+",3422,20895
