county,state,fips,households - With a broadband Internet subscription,households - With a computer,Noninstitutionalized Population - With a disability,Households with one or more people 65 years and over,Households with one or more people under 18 years,"households - Female householder, no husband present, family",households - Householder living alone,LANGUAGE SPOKEN AT HOME - English only,LANGUAGE SPOKEN AT HOME - Language other than English,LANGUAGE SPOKEN AT HOME - Spanish,Females 15 years and over - Never married,Males 15 years and over - Never married,population - Foreign born,population - Born Different state,Foreign-born population - Not a U.S. citizen
Autauga County, Alabama,1001,76.6,86.2,18.8,26.9,36.1,11.4,26,96.2,3.8,2.4,23.5,26.8,2.1,26.7,47.2
Baldwin County, Alabama,1003,74.5,86.9,13.7,34.4,25.5,9.4,30.4,94.5,5.5,3.8,21.8,28.5,3.2,42,52
Barbour County, Alabama,1005,57.2,73.4,22.1,34.5,31.4,19.4,31.9,94.3,5.7,4.5,28.4,39.7,2.7,27.8,62.3
Bibb County, Alabama,1007,62,74.8,15.9,32,31.6,14.9,21.4,97.8,2.2,1.9,21.8,37.3,1,17.3,82.3
Blount County, Alabama,1009,65.8,78.2,14.7,30.9,32.2,9.8,24,92.3,7.7,7.1,16.5,24.5,4.5,16.1,65.3
Bullock County, Alabama,1011,49.4,64.2,17.4,29.6,34.9,27.2,30.2,97.2,2.8,0.9,43.2,49.9,1.8,14.3,52.1
Butler County, Alabama,1013,58.2,68.3,19.3,32.6,28.5,17.3,30.8,98.5,1.5,0.5,32.6,38.6,1,14,46
Calhoun County, Alabama,1015,71,82.9,20.2,30.3,31.5,16.7,27.3,95.9,4.1,2.9,25.1,31,2.6,22.9,57.8
Chambers County, Alabama,1017,62.8,72.7,17.2,33.1,26.4,16,32.3,98.6,1.4,0.6,27.3,32.1,1.3,25.1,86.2
Cherokee County, Alabama,1019,67.5,79.4,20.5,35.2,28.7,10.4,27.9,99,1,0.8,16.2,21.6,0.7,45.2,15.6
Chilton County, Alabama,1021,56.6,73.8,17.4,29.3,34.6,14.3,25.2,92.3,7.7,6.9,20.8,29.6,5.1,17.7,79.6
