"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","edu_group","edu_group_population","total_population_all_edu_groups"
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Associate's degree",2202.46,33884
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Graduate degree",2405.764,33884
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Less than HS",4947.064,33884
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","HS diploma",11927.168,33884
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Some college",7420.596,33884
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","College degree",4980.948,33884
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Graduate degree",10575.72,121438.44
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Some college",28201.92,121438.44
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","College degree",22002.36,121438.44
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Associate's degree",9238.56,121438.44
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","HS diploma",36346.44,121438.44
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Less than HS",15073.44,121438.44
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Some college",3020.64,18897.879
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Graduate degree",1132.74,18897.879
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","HS diploma",6683.166,18897.879
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","College degree",1415.925,18897.879
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Associate's degree",1321.53,18897.879
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Less than HS",5323.878,18897.879
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Less than HS",3845.91,15112.164
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Some college",2548.858,15112.164
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Graduate degree",392.132,15112.164
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","HS diploma",6379.686,15112.164
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","College degree",1131.15,15112.164
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Associate's degree",814.428,15112.164
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","College degree",3199.14,38085
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Some college",7426.575,38085
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Less than HS",9635.505,38085
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Graduate degree",1599.57,38085
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","HS diploma",13862.94,38085
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Associate's degree",2361.27,38085
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Graduate degree",270.137,7301
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Less than HS",1847.153,7301
