year,locale,age_group,youth_injuries
2001,US,Under 10,9698
2004,US,Under 11,9060
2006,US,Under 12,6435
2009,US,Under 13,4111
2012,US,Under 14,4235
2014,US,Under 15,3220
2001,US,10-15 years,13368
2004,US,10-15 years,10480
2006,US,10-15 years,10159
2009,US,10-15 years,6912
2012,US,10-15 years,5766
2014,US,10-15 years,5376
2001,US,16-19 years,5977
2004,US,16-19 years,7722
2006,US,16-19 years,6049
2009,US,16-19 years,4149
2012,US,16-19 years,3443
2014,US,16-19 years,3010
2001,US,Unknown age,185
2004,US,Unknown age,328
2006,US,Unknown age,251
2009,US,Unknown age,704
2012,US,Unknown age,553
2014,US,Unknown age,337
