"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","male_population","female_population"
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","25780","27375"
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","26745","28476"
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","85902","89889"
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","95314","99807"
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","14497","12435"
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","14652","13047"
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","12073","10531"
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","12162","10448"
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","28512","29198"
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","28080","28612"
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","5848","5075"
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","5660","5018"
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","9502","10852"
"2010","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","9810","11085"
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","56274","60374"
"2010","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","56312","60837"
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","16258","17821"
"2010","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","16408","18171"
"2010","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","12804","12896"
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","12975","13033"
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","21619","22200"
"2010","01021","01","021","Chilton County","Alabama","AL","Metropolitan","21298","21823"
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","6382","7013"
"2010","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","6859","7252"
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","11834","13236"
"2010","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","12375","13880"
"2010","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","6873","7167"
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","6671","6866"
"2010","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","7397","7426"
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","7334","7668"
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","25174","25710"
"2010","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","23740","24609"
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","26303","28141"
"2010","01033","01","033","Colbert County","Alabama","AL","Metropolitan","26172","28274"
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","6176","6689"
"2010","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","6815","6567"
"2010","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","5666","5804"
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","5579","5448"
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","18339","19547"
"2010","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","18222","19386"
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","6863","7075"
"2010","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","6737","7191"
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","40081","40884"
"2010","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","39719","40222"
"2010","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","24536","25194"
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","24708","25158"
"2015","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","19450","22704"
"2010","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","20296","23770"
"2015","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","35474","35594"
"2010","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","34584","35454"
"2015","01051","01","051","Elmore County","Alabama","AL","Metropolitan","39362","41401"
"2010","01051","01","051","Elmore County","Alabama","AL","Metropolitan","38248","39402"
"2010","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","19429","18567"
"2015","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","19524","18411"
"2010","01055","01","055","Etowah County","Alabama","AL","Metropolitan","50213","53853"
"2015","01055","01","055","Etowah County","Alabama","AL","Metropolitan","50207","53559"
"2015","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","8477","8419"
"2010","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","8533","8939"
"2015","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","15311","16323"
"2010","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","15579","15804"
"2015","01061","01","061","Geneva County","Alabama","AL","Metropolitan","13174","13641"
"2010","01061","01","061","Geneva County","Alabama","AL","Metropolitan","12893","13648"
"2015","01063","01","063","Greene County","Alabama","AL","Nonmetropolitan","4095","4602"
"2010","01063","01","063","Greene County","Alabama","AL","Nonmetropolitan","4435","4820"
"2015","01065","01","065","Hale County","Alabama","AL","Metropolitan","7183","8073"
"2010","01065","01","065","Hale County","Alabama","AL","Metropolitan","7732","8436"
"2015","01067","01","067","Henry County","Alabama","AL","Metropolitan","8259","8993"
"2010","01067","01","067","Henry County","Alabama","AL","Metropolitan","8193","8955"
"2015","01069","01","069","Houston County","Alabama","AL","Metropolitan","49563","53971"
"2010","01069","01","069","Houston County","Alabama","AL","Metropolitan","47512","51517"
"2015","01071","01","071","Jackson County","Alabama","AL","Nonmetropolitan","26076","26784"
"2010","01071","01","071","Jackson County","Alabama","AL","Nonmetropolitan","26224","27162"
"2015","01073","01","073","Jefferson County","Alabama","AL","Metropolitan","311581","347445"
"2010","01073","01","073","Jefferson County","Alabama","AL","Metropolitan","310892","346020"
"2015","01075","01","075","Lamar County","Alabama","AL","Nonmetropolitan","6832","7301"
"2010","01075","01","075","Lamar County","Alabama","AL","Nonmetropolitan","7083","7660"
"2015","01077","01","077","Lauderdale County","Alabama","AL","Metropolitan","44419","48318"
"2010","01077","01","077","Lauderdale County","Alabama","AL","Metropolitan","43841","47921"
"2015","01079","01","079","Lawrence County","Alabama","AL","Metropolitan","16421","17165"
"2010","01079","01","079","Lawrence County","Alabama","AL","Metropolitan","16765","17470"
"2010","01081","01","081","Lee County","Alabama","AL","Metropolitan","66748","68262"
"2015","01081","01","081","Lee County","Alabama","AL","Metropolitan","74277","76705"
"2010","01083","01","083","Limestone County","Alabama","AL","Metropolitan","39883","38731"
"2015","01083","01","083","Limestone County","Alabama","AL","Metropolitan","44626","44179"
"2015","01085","01","085","Lowndes County","Alabama","AL","Metropolitan","5125","5617"
"2010","01085","01","085","Lowndes County","Alabama","AL","Metropolitan","5464","6267"
"2015","01087","01","087","Macon County","Alabama","AL","Nonmetropolitan","9166","10852"
"2010","01087","01","087","Macon County","Alabama","AL","Nonmetropolitan","9926","11773"
"2015","01089","01","089","Madison County","Alabama","AL","Metropolitan","169422","177016"
"2010","01089","01","089","Madison County","Alabama","AL","Metropolitan","158503","164577"
"2010","01091","01","091","Marengo County","Alabama","AL","Nonmetropolitan","10064","11232"
"2015","01091","01","091","Marengo County","Alabama","AL","Nonmetropolitan","9452","10854"
"2015","01093","01","093","Marion County","Alabama","AL","Nonmetropolitan","15004","15383"
"2010","01093","01","093","Marion County","Alabama","AL","Nonmetropolitan","15232","15560"
"2015","01095","01","095","Marshall County","Alabama","AL","Nonmetropolitan","46409","47909"
"2010","01095","01","095","Marshall County","Alabama","AL","Nonmetropolitan","44733","46134"
"2015","01097","01","097","Mobile County","Alabama","AL","Metropolitan","198216","216035"
"2010","01097","01","097","Mobile County","Alabama","AL","Metropolitan","196200","212420"
"2010","01099","01","099","Monroe County","Alabama","AL","Nonmetropolitan","11262","12067"
"2015","01099","01","099","Monroe County","Alabama","AL","Nonmetropolitan","10639","11578"
"2015","01101","01","101","Montgomery County","Alabama","AL","Metropolitan","108296","119842"
"2010","01101","01","101","Montgomery County","Alabama","AL","Metropolitan","108532","119486"
"2015","01103","01","103","Morgan County","Alabama","AL","Metropolitan","58814","60972"
"2010","01103","01","103","Morgan County","Alabama","AL","Metropolitan","57601","60031"
"2015","01105","01","105","Perry County","Alabama","AL","Nonmetropolitan","4651","5387"
"2010","01105","01","105","Perry County","Alabama","AL","Nonmetropolitan","4901","5783"
"2010","01107","01","107","Pickens County","Alabama","AL","Metropolitan","9437","10480"
"2015","01107","01","107","Pickens County","Alabama","AL","Metropolitan","9657","10199"
"2010","01109","01","109","Pike County","Alabama","AL","Nonmetropolitan","15200","16947"
"2015","01109","01","109","Pike County","Alabama","AL","Nonmetropolitan","15818","17337"
