"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","cases","totpop"
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","90","45771"
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","273","168633"
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","97","22665"
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","48","19260"
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","37","48124"
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","46","9146"
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","44","16888"
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","137","97890"
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","87","28894"
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","25","22339"
"2014","01021","01","021","Chilton County","Alabama","AL","Metropolitan","41","36285"
"2014","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","31","11428"
"2014","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","34","21108"
"2014","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","26","11543"
"2014","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","10","12606"
"2014","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","60","42411"
"2014","01033","01","033","Colbert County","Alabama","AL","Metropolitan","41","46222"
"2014","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","22","10758"
"2014","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","12","9438"
"2014","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","40","31933"
"2014","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","22","11705"
"2014","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","54","68300"
"2014","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","116","41074"
"2014","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","147","34244"
"2014","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","43","58487"
"2014","01051","01","051","Elmore County","Alabama","AL","Metropolitan","168","67904"
"2014","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","79","31798"
"2014","01055","01","055","Etowah County","Alabama","AL","Metropolitan","139","87552"
"2014","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","15","14303"
"2014","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","10","26048"
"2014","01061","01","061","Geneva County","Alabama","AL","Metropolitan","36","22479"
