"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","pop_18to24_nohs","pop_18to24_all"
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","928","4858"
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","2558","14479"
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","600","2386"
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","520","2056"
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","894","4618"
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","82","1006"
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","313","1630"
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","1653","11867"
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","412","2897"
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","305","1928"
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","505","3731"
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","182","1043"
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","514","2188"
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","194","1027"
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","206","1101"
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","853","4296"
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","954","4584"
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","246","1114"
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","188","960"
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","648","3007"
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","271","1176"
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","1423","6909"
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","742","4703"
"2015","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","695","3931"
"2015","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","1432","5951"
"2015","01051","01","051","Elmore County","Alabama","AL","Metropolitan","1593","7691"
"2015","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","1078","3484"
"2015","01055","01","055","Etowah County","Alabama","AL","Metropolitan","1794","9064"
"2015","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","224","1353"
"2015","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","673","2891"
"2015","01061","01","061","Geneva County","Alabama","AL","Metropolitan","520","2105"
"2015","01063","01","063","Greene County","Alabama","AL","Nonmetropolitan","166","746"
"2015","01065","01","065","Hale County","Alabama","AL","Metropolitan","258","1377"
"2015","01067","01","067","Henry County","Alabama","AL","Metropolitan","221","1345"
"2015","01069","01","069","Houston County","Alabama","AL","Metropolitan","1531","8496"
"2015","01071","01","071","Jackson County","Alabama","AL","Nonmetropolitan","950","4096"
"2015","01073","01","073","Jefferson County","Alabama","AL","Metropolitan","8103","61328"
"2015","01075","01","075","Lamar County","Alabama","AL","Nonmetropolitan","278","1040"
"2015","01077","01","077","Lauderdale County","Alabama","AL","Metropolitan","1348","10644"
"2015","01079","01","079","Lawrence County","Alabama","AL","Metropolitan","459","2855"
"2015","01081","01","081","Lee County","Alabama","AL","Metropolitan","2207","30033"
"2015","01083","01","083","Limestone County","Alabama","AL","Metropolitan","1699","7014"
"2015","01085","01","085","Lowndes County","Alabama","AL","Metropolitan","350","1033"
"2015","01087","01","087","Macon County","Alabama","AL","Nonmetropolitan","409","3888"
"2015","01089","01","089","Madison County","Alabama","AL","Metropolitan","4407","34448"
"2015","01091","01","091","Marengo County","Alabama","AL","Nonmetropolitan","326","1790"
"2015","01093","01","093","Marion County","Alabama","AL","Nonmetropolitan","672","2299"
"2015","01095","01","095","Marshall County","Alabama","AL","Nonmetropolitan","1642","8035"
"2015","01097","01","097","Mobile County","Alabama","AL","Metropolitan","8013","40775"
"2015","01099","01","099","Monroe County","Alabama","AL","Nonmetropolitan","574","1929"
"2015","01101","01","101","Montgomery County","Alabama","AL","Metropolitan","4997","25168"
"2015","01103","01","103","Morgan County","Alabama","AL","Metropolitan","1969","9844"
"2015","01105","01","105","Perry County","Alabama","AL","Nonmetropolitan","181","1625"
"2015","01107","01","107","Pickens County","Alabama","AL","Metropolitan","328","1741"
"2015","01109","01","109","Pike County","Alabama","AL","Nonmetropolitan","266","7111"
"2015","01111","01","111","Randolph County","Alabama","AL","Nonmetropolitan","554","2024"
"2015","01113","01","113","Russell County","Alabama","AL","Metropolitan","1424","5342"
"2015","01115","01","115","St. Clair County","Alabama","AL","Metropolitan","1254","6697"
"2015","01117","01","117","Shelby County","Alabama","AL","Metropolitan","2128","16270"
"2015","01119","01","119","Sumter County","Alabama","AL","Nonmetropolitan","269","2527"
"2015","01121","01","121","Talladega County","Alabama","AL","Nonmetropolitan","1504","7144"
"2015","01123","01","123","Tallapoosa County","Alabama","AL","Nonmetropolitan","737","3396"
"2015","01125","01","125","Tuscaloosa County","Alabama","AL","Metropolitan","3238","37432"
"2015","01127","01","127","Walker County","Alabama","AL","Metropolitan","929","5501"
"2015","01129","01","129","Washington County","Alabama","AL","Nonmetropolitan","384","1505"
"2015","01131","01","131","Wilcox County","Alabama","AL","Nonmetropolitan","233","992"
"2015","01133","01","133","Winston County","Alabama","AL","Nonmetropolitan","353","1771"
"2015","02013","02","013","Aleutians East Borough","Alaska","AK","Nonmetropolitan","55","380"
"2015","02016","02","016","Aleutians West Census Area","Alaska","AK","Nonmetropolitan","68","603"
"2015","02020","02","020","Anchorage Municipality","Alaska","AK","Metropolitan","4734","34571"
"2015","02050","02","050","Bethel Census Area","Alaska","AK","Nonmetropolitan","821","1988"
"2015","02060","02","060","Bristol Bay Borough","Alaska","AK","Nonmetropolitan","20","81"
"2015","02068","02","068","Denali Borough","Alaska","AK","Nonmetropolitan","31","265"
"2015","02070","02","070","Dillingham Census Area","Alaska","AK","Nonmetropolitan","123","570"
"2015","02090","02","090","Fairbanks North Star Borough","Alaska","AK","Metropolitan","1515","14367"
"2015","02100","02","100","Haines Borough","Alaska","AK","Nonmetropolitan","1","207"
"2015","02105","02","105","Hoonah-Angoon Census Area","Alaska","AK","Nonmetropolitan","31","127"
"2015","02110","02","110","Juneau City and Borough","Alaska","AK","Nonmetropolitan","457","2920"
"2015","02122","02","122","Kenai Peninsula Borough","Alaska","AK","Nonmetropolitan","1041","4969"
"2015","02130","02","130","Ketchikan Gateway Borough","Alaska","AK","Nonmetropolitan","241","1223"
"2015","02150","02","150","Kodiak Island Borough","Alaska","AK","Nonmetropolitan","178","1607"
"2015","02158","02","158","Kusilvak Census Area","Alaska","AK","Nonmetropolitan","360","1030"
"2015","02164","02","164","Lake and Peninsula Borough","Alaska","AK","Nonmetropolitan","37","158"
"2015","02170","02","170","Matanuska-Susitna Borough","Alaska","AK","Metropolitan","1910","8865"
"2015","02180","02","180","Nome Census Area","Alaska","AK","Nonmetropolitan","258","1070"
"2015","02185","02","185","North Slope Borough","Alaska","AK","Nonmetropolitan","151","940"
"2015","02188","02","188","Northwest Arctic Borough","Alaska","AK","Nonmetropolitan","272","966"
"2015","02195","02","195","Petersburg Borough","Alaska","AK","Nonmetropolitan","112","296"
"2015","02198","02","198","Prince of Wales-Hyder Census Area","Alaska","AK","Nonmetropolitan","73","511"
"2015","02220","02","220","Sitka City and Borough","Alaska","AK","Nonmetropolitan","175","728"
"2015","02230","02","230","Skagway Municipality","Alaska","AK","Nonmetropolitan","6","58"
"2015","02240","02","240","Southeast Fairbanks Census Area","Alaska","AK","Nonmetropolitan","126","649"
"2015","02261","02","261","Valdez-Cordova Census Area","Alaska","AK","Nonmetropolitan","59","941"
"2015","02275","02","275","Wrangell City and Borough","Alaska","AK","Nonmetropolitan","17","147"
"2015","02282","02","282","Yakutat City and Borough","Alaska","AK","Nonmetropolitan","3","52"
