"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","age_group","age_group_physicians","total_physicians_all_age_groups"
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","45 to 54",10,43
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","65 to 74",4,43
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","75 and older",3,43
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Under 35",4,43
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","35 to 44",11,43
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","55 to 64",11,43
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","65 to 74",47,422
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","75 and older",9,422
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Under 35",35,422
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","45 to 54",120,422
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","55 to 64",116,422
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","35 to 44",95,422
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","35 to 44",0,15
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","75 and older",0,15
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","45 to 54",2,15
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","65 to 74",0,15
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Under 35",0,15
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","55 to 64",13,15
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","75 and older",0,17
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","35 to 44",5,17
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","65 to 74",0,17
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","45 to 54",2,17
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Under 35",6,17
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","55 to 64",4,17
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","35 to 44",4,15
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","75 and older",0,15
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","45 to 54",3,15
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","65 to 74",1,15
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","Under 35",0,15
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","55 to 64",7,15
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","35 to 44",0,4
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Under 35",0,4
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","45 to 54",2,4
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","55 to 64",2,4
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","65 to 74",0,4
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","75 and older",0,4
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","55 to 64",4,13
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","45 to 54",3,13
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","75 and older",0,13
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","35 to 44",2,13
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Under 35",3,13
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","65 to 74",1,13
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","55 to 64",64,202
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Under 35",13,202
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","75 and older",4,202
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","35 to 44",35,202
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","45 to 54",58,202
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","65 to 74",28,202
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","55 to 64",12,31
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Under 35",2,31
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","75 and older",1,31
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","35 to 44",5,31
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","45 to 54",6,31
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","65 to 74",5,31
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","55 to 64",4,11
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","35 to 44",1,11
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","65 to 74",2,11
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","45 to 54",3,11
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","75 and older",0,11
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Under 35",1,11
"2014","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Under 35",1,14
"2014","01021","01","021","Chilton County","Alabama","AL","Metropolitan","65 to 74",1,14
"2014","01021","01","021","Chilton County","Alabama","AL","Metropolitan","75 and older",1,14
"2014","01021","01","021","Chilton County","Alabama","AL","Metropolitan","35 to 44",1,14
"2014","01021","01","021","Chilton County","Alabama","AL","Metropolitan","55 to 64",6,14
"2014","01021","01","021","Chilton County","Alabama","AL","Metropolitan","45 to 54",4,14
"2014","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","55 to 64",3,5
"2014","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","Under 35",0,5
"2014","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","75 and older",0,5
"2014","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","65 to 74",0,5
"2014","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","35 to 44",1,5
"2014","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","45 to 54",1,5
"2014","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","65 to 74",2,19
"2014","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","Under 35",2,19
"2014","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","55 to 64",7,19
"2014","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","75 and older",2,19
"2014","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","35 to 44",3,19
"2014","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","45 to 54",3,19
"2014","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","65 to 74",1,6
"2014","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","55 to 64",2,6
"2014","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","Under 35",0,6
"2014","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","45 to 54",2,6
"2014","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","75 and older",1,6
"2014","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","35 to 44",0,6
"2014","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","75 and older",0,5
"2014","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","Under 35",0,5
"2014","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","65 to 74",0,5
"2014","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","55 to 64",1,5
"2014","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","35 to 44",2,5
"2014","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","45 to 54",2,5
"2014","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","65 to 74",7,62
"2014","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","Under 35",8,62
"2014","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","35 to 44",12,62
"2014","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","75 and older",3,62
"2014","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","55 to 64",13,62
"2014","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","45 to 54",19,62
"2014","01033","01","033","Colbert County","Alabama","AL","Metropolitan","45 to 54",17,92
"2014","01033","01","033","Colbert County","Alabama","AL","Metropolitan","75 and older",4,92
"2014","01033","01","033","Colbert County","Alabama","AL","Metropolitan","35 to 44",11,92
"2014","01033","01","033","Colbert County","Alabama","AL","Metropolitan","65 to 74",15,92
"2014","01033","01","033","Colbert County","Alabama","AL","Metropolitan","Under 35",8,92
"2014","01033","01","033","Colbert County","Alabama","AL","Metropolitan","55 to 64",37,92
"2014","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","75 and older",0,7
"2014","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","35 to 44",0,7
"2014","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","Under 35",1,7
"2014","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","45 to 54",2,7
"2014","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","65 to 74",1,7
"2014","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","55 to 64",3,7
"2014","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","Under 35",0,0
"2014","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","35 to 44",0,0
"2014","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","65 to 74",0,0
"2014","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","45 to 54",0,0
"2014","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","75 and older",0,0
"2014","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","55 to 64",0,0
"2014","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","35 to 44",4,39
"2014","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","45 to 54",15,39
"2014","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","Under 35",0,39
"2014","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","65 to 74",6,39
"2014","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","75 and older",1,39
"2014","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","55 to 64",13,39
"2014","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","65 to 74",2,5
"2014","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","Under 35",0,5
"2014","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","55 to 64",1,5
"2014","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","35 to 44",1,5
"2014","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","75 and older",1,5
"2014","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","45 to 54",0,5
"2014","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","45 to 54",30,105
"2014","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","65 to 74",12,105
"2014","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","55 to 64",34,105
"2014","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","75 and older",2,105
"2014","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","35 to 44",20,105
"2014","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","Under 35",7,105
"2014","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","55 to 64",7,33
"2014","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","35 to 44",5,33
"2014","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","65 to 74",5,33
"2014","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","45 to 54",13,33
"2014","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","Under 35",1,33
"2014","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","75 and older",2,33
"2014","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","45 to 54",16,74
"2014","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","75 and older",0,74
"2014","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","65 to 74",10,74
"2014","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","55 to 64",15,74
"2014","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","Under 35",18,74
"2014","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","35 to 44",15,74
"2014","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","55 to 64",20,52
"2014","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","75 and older",2,52
"2014","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","65 to 74",4,52
"2014","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","45 to 54",14,52
"2014","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","Under 35",4,52
"2014","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","35 to 44",8,52
"2014","01051","01","051","Elmore County","Alabama","AL","Metropolitan","65 to 74",6,37
"2014","01051","01","051","Elmore County","Alabama","AL","Metropolitan","75 and older",1,37
"2014","01051","01","051","Elmore County","Alabama","AL","Metropolitan","55 to 64",8,37
"2014","01051","01","051","Elmore County","Alabama","AL","Metropolitan","Under 35",2,37
"2014","01051","01","051","Elmore County","Alabama","AL","Metropolitan","35 to 44",6,37
"2014","01051","01","051","Elmore County","Alabama","AL","Metropolitan","45 to 54",14,37
"2014","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","75 and older",4,27
"2014","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","Under 35",0,27
"2014","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","65 to 74",7,27
"2014","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","35 to 44",4,27
"2014","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","45 to 54",7,27
"2014","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","55 to 64",5,27
"2014","01055","01","055","Etowah County","Alabama","AL","Metropolitan","75 and older",8,215
"2014","01055","01","055","Etowah County","Alabama","AL","Metropolitan","Under 35",12,215
"2014","01055","01","055","Etowah County","Alabama","AL","Metropolitan","45 to 54",50,215
"2014","01055","01","055","Etowah County","Alabama","AL","Metropolitan","35 to 44",46,215
"2014","01055","01","055","Etowah County","Alabama","AL","Metropolitan","55 to 64",70,215
