"year","locale","metro_nonmetro","deaths","totpop"
2006,"US","Metropolitan",1988,252641624
2006,"US","Nonmetropolitan",100,45738288
2007,"US","Metropolitan",2272,255300617
2007,"US","Nonmetropolitan",127,45930590
2008,"US","Metropolitan",2865,257996520
2008,"US","Nonmetropolitan",176,46097446
2009,"US","Metropolitan",3072,260573371
2009,"US","Nonmetropolitan",206,46198158
2010,"US","Metropolitan",2865,262452132
2010,"US","Nonmetropolitan",171,46293406
2011,"US","Metropolitan",4120,265270604
2011,"US","Nonmetropolitan",277,46321313
2012,"US","Metropolitan",5510,267664440
2012,"US","Nonmetropolitan",415,46249600
2013,"US","Metropolitan",7653,269911242
2013,"US","Nonmetropolitan",604,46217597
2014,"US","Metropolitan",9740,272667942
2014,"US","Nonmetropolitan",834,46189114
2015,"US","Metropolitan",11878,275252217
2015,"US","Nonmetropolitan",1111,46166603
