"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","origin","origin_population","total_population"
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Hispanic or Latino",1233,53155
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Not Hispanic or Latino",51922,53155
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Hispanic or Latino",6848,175791
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Not Hispanic or Latino",168943,175791
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",26426,27699
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",1273,27699
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Hispanic or Latino",134,22610
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Not Hispanic or Latino",22476,22610
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Hispanic or Latino",4246,56692
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","Not Hispanic or Latino",52446,56692
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",10743,10923
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",180,10923
"2010","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",20837,20895
"2010","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",58,20895
"2010","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Hispanic or Latino",3555,117149
"2010","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Not Hispanic or Latino",113594,117149
"2010","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",34055,34579
"2010","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",524,34579
"2010","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",321,25700
"2010","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",25379,25700
"2010","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Hispanic or Latino",2806,43121
"2010","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Not Hispanic or Latino",40315,43121
"2010","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",14059,14111
"2010","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",52,14111
"2010","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",238,26255
"2010","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",26017,26255
"2010","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",360,14040
"2010","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",13680,14040
"2010","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",14609,14823
"2010","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",214,14823
"2010","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",45637,48349
"2010","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",2712,48349
"2010","01033","01","033","Colbert County","Alabama","AL","Metropolitan","Not Hispanic or Latino",53365,54446
"2010","01033","01","033","Colbert County","Alabama","AL","Metropolitan","Hispanic or Latino",1081,54446
"2010","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",13340,13382
"2010","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",42,13382
"2010","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",11456,11470
"2010","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",14,11470
"2010","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",37107,37608
"2010","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",501,37608
"2010","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",13749,13928
"2010","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",179,13928
"2010","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",3170,79941
"2010","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",76771,79941
"2010","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",2606,49730
"2010","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",47124,49730
"2010","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",43754,44066
"2010","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",312,44066
"2010","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",61464,70038
"2010","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",8574,70038
"2010","01051","01","051","Elmore County","Alabama","AL","Metropolitan","Not Hispanic or Latino",75685,77650
"2010","01051","01","051","Elmore County","Alabama","AL","Metropolitan","Hispanic or Latino",1965,77650
"2010","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",722,37996
"2010","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",37274,37996
"2010","01055","01","055","Etowah County","Alabama","AL","Metropolitan","Hispanic or Latino",3204,104066
"2010","01055","01","055","Etowah County","Alabama","AL","Metropolitan","Not Hispanic or Latino",100862,104066
"2010","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",17288,17472
"2010","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",184,17472
"2010","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",27249,31383
"2010","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",4134,31383
"2010","01061","01","061","Geneva County","Alabama","AL","Metropolitan","Not Hispanic or Latino",25691,26541
"2010","01061","01","061","Geneva County","Alabama","AL","Metropolitan","Hispanic or Latino",850,26541
"2010","01063","01","063","Greene County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",9158,9255
"2010","01063","01","063","Greene County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",97,9255
"2010","01065","01","065","Hale County","Alabama","AL","Metropolitan","Not Hispanic or Latino",16111,16168
"2010","01065","01","065","Hale County","Alabama","AL","Metropolitan","Hispanic or Latino",57,16168
"2010","01067","01","067","Henry County","Alabama","AL","Metropolitan","Not Hispanic or Latino",16814,17148
"2010","01067","01","067","Henry County","Alabama","AL","Metropolitan","Hispanic or Latino",334,17148
"2010","01069","01","069","Houston County","Alabama","AL","Metropolitan","Not Hispanic or Latino",96421,99029
"2010","01069","01","069","Houston County","Alabama","AL","Metropolitan","Hispanic or Latino",2608,99029
"2010","01071","01","071","Jackson County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",1212,53386
"2010","01071","01","071","Jackson County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",52174,53386
"2010","01073","01","073","Jefferson County","Alabama","AL","Metropolitan","Not Hispanic or Latino",634335,656912
"2010","01073","01","073","Jefferson County","Alabama","AL","Metropolitan","Hispanic or Latino",22577,656912
"2010","01075","01","075","Lamar County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",14569,14743
"2010","01075","01","075","Lamar County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",174,14743
"2010","01077","01","077","Lauderdale County","Alabama","AL","Metropolitan","Hispanic or Latino",1872,91762
"2010","01077","01","077","Lauderdale County","Alabama","AL","Metropolitan","Not Hispanic or Latino",89890,91762
"2010","01079","01","079","Lawrence County","Alabama","AL","Metropolitan","Not Hispanic or Latino",33637,34235
"2010","01079","01","079","Lawrence County","Alabama","AL","Metropolitan","Hispanic or Latino",598,34235
"2010","01081","01","081","Lee County","Alabama","AL","Metropolitan","Not Hispanic or Latino",130948,135010
"2010","01081","01","081","Lee County","Alabama","AL","Metropolitan","Hispanic or Latino",4062,135010
"2010","01083","01","083","Limestone County","Alabama","AL","Metropolitan","Not Hispanic or Latino",74697,78614
"2010","01083","01","083","Limestone County","Alabama","AL","Metropolitan","Hispanic or Latino",3917,78614
"2010","01085","01","085","Lowndes County","Alabama","AL","Metropolitan","Not Hispanic or Latino",11625,11731
"2010","01085","01","085","Lowndes County","Alabama","AL","Metropolitan","Hispanic or Latino",106,11731
"2010","01087","01","087","Macon County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",21560,21699
"2010","01087","01","087","Macon County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",139,21699
"2010","01089","01","089","Madison County","Alabama","AL","Metropolitan","Hispanic or Latino",13034,323080
"2010","01089","01","089","Madison County","Alabama","AL","Metropolitan","Not Hispanic or Latino",310046,323080
"2010","01091","01","091","Marengo County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",21224,21296
"2010","01091","01","091","Marengo County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",72,21296
"2010","01093","01","093","Marion County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",30205,30792
"2010","01093","01","093","Marion County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",587,30792
"2010","01095","01","095","Marshall County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",80976,90867
"2010","01095","01","095","Marshall County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",9891,90867
"2010","01097","01","097","Mobile County","Alabama","AL","Metropolitan","Hispanic or Latino",8854,408620
"2010","01097","01","097","Mobile County","Alabama","AL","Metropolitan","Not Hispanic or Latino",399766,408620
"2010","01099","01","099","Monroe County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",23081,23329
"2010","01099","01","099","Monroe County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",248,23329
"2010","01101","01","101","Montgomery County","Alabama","AL","Metropolitan","Hispanic or Latino",7177,228018
"2010","01101","01","101","Montgomery County","Alabama","AL","Metropolitan","Not Hispanic or Latino",220841,228018
"2010","01103","01","103","Morgan County","Alabama","AL","Metropolitan","Hispanic or Latino",7987,117632
"2010","01103","01","103","Morgan County","Alabama","AL","Metropolitan","Not Hispanic or Latino",109645,117632
"2010","01105","01","105","Perry County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",124,10684
"2010","01105","01","105","Perry County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",10560,10684
"2010","01107","01","107","Pickens County","Alabama","AL","Metropolitan","Not Hispanic or Latino",19692,19917
"2010","01107","01","107","Pickens County","Alabama","AL","Metropolitan","Hispanic or Latino",225,19917
"2010","01109","01","109","Pike County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",705,32147
"2010","01109","01","109","Pike County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",31442,32147
"2010","01111","01","111","Randolph County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",563,22817
"2010","01111","01","111","Randolph County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",22254,22817
"2010","01113","01","113","Russell County","Alabama","AL","Metropolitan","Not Hispanic or Latino",49929,51663
"2010","01113","01","113","Russell County","Alabama","AL","Metropolitan","Hispanic or Latino",1734,51663
"2010","01115","01","115","St. Clair County","Alabama","AL","Metropolitan","Hispanic or Latino",1586,80658
"2010","01115","01","115","St. Clair County","Alabama","AL","Metropolitan","Not Hispanic or Latino",79072,80658
"2010","01117","01","117","Shelby County","Alabama","AL","Metropolitan","Not Hispanic or Latino",178130,187880
"2010","01117","01","117","Shelby County","Alabama","AL","Metropolitan","Hispanic or Latino",9750,187880
"2010","01119","01","119","Sumter County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",13770,13871
"2010","01119","01","119","Sumter County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",101,13871
"2010","01121","01","121","Talladega County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",80780,82347
"2010","01121","01","121","Talladega County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",1567,82347
"2010","01123","01","123","Tallapoosa County","Alabama","AL","Nonmetropolitan","Hispanic or Latino",887,41534
"2010","01123","01","123","Tallapoosa County","Alabama","AL","Nonmetropolitan","Not Hispanic or Latino",40647,41534
"2010","01125","01","125","Tuscaloosa County","Alabama","AL","Metropolitan","Hispanic or Latino",5214,188331
