"year","locale","metro_nonmetro","infantdeaths","totpop"
"2007","US","Metropolitan","24701","3548796"
"2007","US","Nonmetropolitan","4437","599201"
"2008","US","Metropolitan","23833","3532240"
"2008","US","Nonmetropolitan","4226","600495"
"2009","US","Metropolitan","22462","3428001"
"2009","US","Nonmetropolitan","3950","575586"
"2010","US","Metropolitan","20783","3386957"
"2010","US","Nonmetropolitan","3803","557196"
"2011","US","Metropolitan","20301","3448414"
"2011","US","Nonmetropolitan","3684","548123"
"2012","US","Metropolitan","20052","3405205"
"2012","US","Nonmetropolitan","3577","537872"
"2013","US","Metropolitan","19801","3409273"
"2013","US","Nonmetropolitan","3639","532510"
"2014","US","Metropolitan","19696","3415025"
"2014","US","Nonmetropolitan","3519","533325"
"2015","US","Metropolitan","19859","3441380"
"2015","US","Nonmetropolitan","3596","536658"
