"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","medianinc","households"
"2009","01001","01","001","Autauga County","Alabama","AL","Metropolitan","53081","18288"
"2009","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","48637","68497"
"2009","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","28802","10645"
"2009","01007","01","007","Bibb County","Alabama","AL","Metropolitan","38294","7525"
"2009","01009","01","009","Blount County","Alabama","AL","Metropolitan","41520","19228"
"2009","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","24206","3929"
"2009","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","27794","8056"
"2009","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","37340","47046"
"2009","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","30621","13672"
"2009","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","38024","10261"
"2009","01021","01","021","Chilton County","Alabama","AL","Metropolitan","38916","16176"
"2009","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","31067","5780"
"2009","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","32729","9259"
"2009","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","34831","5774"
"2009","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","37870","5279"
"2009","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","43296","18850"
"2009","01033","01","033","Colbert County","Alabama","AL","Metropolitan","37111","22881"
"2009","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","26882","5401"
"2009","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","34795","4528"
"2009","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","32179","14651"
"2009","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","31849","5857"
"2009","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","37425","30993"
"2009","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","41279","19257"
"2009","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","27088","17077"
"2009","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","33919","24999"
"2009","01051","01","051","Elmore County","Alabama","AL","Metropolitan","50194","25417"
"2009","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","31443","14222"
"2009","01055","01","055","Etowah County","Alabama","AL","Metropolitan","38575","42687"
"2009","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","34262","7414"
"2009","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","32588","12372"
"2009","01061","01","061","Geneva County","Alabama","AL","Metropolitan","31347","10410"
