"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","OMBcode2013"
"2013","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Medium metro"
"2013","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Small metro"
"2013","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Large fringe metro"
"2013","01009","01","009","Blount County","Alabama","AL","Metropolitan","Large fringe metro"
"2013","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Small metro"
"2013","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Large fringe metro"
"2013","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01033","01","033","Colbert County","Alabama","AL","Metropolitan","Small metro"
"2013","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01051","01","051","Elmore County","Alabama","AL","Metropolitan","Medium metro"
"2013","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01055","01","055","Etowah County","Alabama","AL","Metropolitan","Small metro"
"2013","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01061","01","061","Geneva County","Alabama","AL","Metropolitan","Small metro"
"2013","01063","01","063","Greene County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01065","01","065","Hale County","Alabama","AL","Metropolitan","Small metro"
"2013","01067","01","067","Henry County","Alabama","AL","Metropolitan","Small metro"
"2013","01069","01","069","Houston County","Alabama","AL","Metropolitan","Small metro"
"2013","01071","01","071","Jackson County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01073","01","073","Jefferson County","Alabama","AL","Metropolitan","Large central metro"
"2013","01075","01","075","Lamar County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01077","01","077","Lauderdale County","Alabama","AL","Metropolitan","Small metro"
"2013","01079","01","079","Lawrence County","Alabama","AL","Metropolitan","Small metro"
"2013","01081","01","081","Lee County","Alabama","AL","Metropolitan","Small metro"
"2013","01083","01","083","Limestone County","Alabama","AL","Metropolitan","Medium metro"
"2013","01085","01","085","Lowndes County","Alabama","AL","Metropolitan","Medium metro"
"2013","01087","01","087","Macon County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01089","01","089","Madison County","Alabama","AL","Metropolitan","Medium metro"
"2013","01091","01","091","Marengo County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01093","01","093","Marion County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01095","01","095","Marshall County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01097","01","097","Mobile County","Alabama","AL","Metropolitan","Medium metro"
"2013","01099","01","099","Monroe County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01101","01","101","Montgomery County","Alabama","AL","Metropolitan","Medium metro"
"2013","01103","01","103","Morgan County","Alabama","AL","Metropolitan","Small metro"
"2013","01105","01","105","Perry County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01107","01","107","Pickens County","Alabama","AL","Metropolitan","Small metro"
"2013","01109","01","109","Pike County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01111","01","111","Randolph County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01113","01","113","Russell County","Alabama","AL","Metropolitan","Medium metro"
"2013","01115","01","115","St. Clair County","Alabama","AL","Metropolitan","Large fringe metro"
"2013","01117","01","117","Shelby County","Alabama","AL","Metropolitan","Large fringe metro"
"2013","01119","01","119","Sumter County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01121","01","121","Talladega County","Alabama","AL","Nonmetropolitan","Micropolitan"
"2013","01123","01","123","Tallapoosa County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01125","01","125","Tuscaloosa County","Alabama","AL","Metropolitan","Small metro"
"2013","01127","01","127","Walker County","Alabama","AL","Metropolitan","Large fringe metro"
"2013","01129","01","129","Washington County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01131","01","131","Wilcox County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","01133","01","133","Winston County","Alabama","AL","Nonmetropolitan","Noncore"
"2013","02013","02","013","Aleutians East Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02016","02","016","Aleutians West Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02020","02","020","Anchorage Municipality","Alaska","AK","Metropolitan","Medium metro"
"2013","02050","02","050","Bethel Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02060","02","060","Bristol Bay Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02068","02","068","Denali Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02070","02","070","Dillingham Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02090","02","090","Fairbanks North Star Borough","Alaska","AK","Metropolitan","Small metro"
"2013","02100","02","100","Haines Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02105","02","105","Hoonah-Angoon Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02110","02","110","Juneau City and Borough","Alaska","AK","Nonmetropolitan","Micropolitan"
"2013","02122","02","122","Kenai Peninsula Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02130","02","130","Ketchikan Gateway Borough","Alaska","AK","Nonmetropolitan","Micropolitan"
"2013","02150","02","150","Kodiak Island Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02164","02","164","Lake and Peninsula Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02170","02","170","Matanuska-Susitna Borough","Alaska","AK","Metropolitan","Medium metro"
"2013","02180","02","180","Nome Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02185","02","185","North Slope Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02188","02","188","Northwest Arctic Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02195","02","195","Petersburg Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02198","02","198","Prince of Wales-Hyder Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02201","02","201","Prince of Wales-Outer Ketchikan Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02220","02","220","Sitka City and Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02230","02","230","Skagway Municipality","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02232","02","232","Skagway-Hoonah-Angoon Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02240","02","240","Southeast Fairbanks Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02261","02","261","Valdez-Cordova Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02270","02","270","Wade Hampton Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02275","02","275","Wrangell City and Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02280","02","280","Wrangell-Petersburg Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02282","02","282","Yakutat City and Borough","Alaska","AK","Nonmetropolitan","Noncore"
"2013","02290","02","290","Yukon-Koyukuk Census Area","Alaska","AK","Nonmetropolitan","Noncore"
"2013","04001","04","001","Apache County","Arizona","AZ","Nonmetropolitan","Noncore"
"2013","04003","04","003","Cochise County","Arizona","AZ","Metropolitan","Small metro"
"2013","04005","04","005","Coconino County","Arizona","AZ","Metropolitan","Small metro"
"2013","04007","04","007","Gila County","Arizona","AZ","Nonmetropolitan","Micropolitan"
"2013","04009","04","009","Graham County","Arizona","AZ","Nonmetropolitan","Micropolitan"
"2013","04011","04","011","Greenlee County","Arizona","AZ","Nonmetropolitan","Noncore"
"2013","04012","04","012","La Paz County","Arizona","AZ","Nonmetropolitan","Noncore"
"2013","04013","04","013","Maricopa County","Arizona","AZ","Metropolitan","Large central metro"
"2013","04015","04","015","Mohave County","Arizona","AZ","Metropolitan","Small metro"
"2013","04017","04","017","Navajo County","Arizona","AZ","Nonmetropolitan","Micropolitan"
"2013","04019","04","019","Pima County","Arizona","AZ","Metropolitan","Medium metro"
"2013","04021","04","021","Pinal County","Arizona","AZ","Metropolitan","Large fringe metro"
"2013","04023","04","023","Santa Cruz County","Arizona","AZ","Nonmetropolitan","Micropolitan"
"2013","04025","04","025","Yavapai County","Arizona","AZ","Metropolitan","Small metro"
"2013","04027","04","027","Yuma County","Arizona","AZ","Metropolitan","Small metro"
"2013","05001","05","001","Arkansas County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05003","05","003","Ashley County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05005","05","005","Baxter County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05007","05","007","Benton County","Arkansas","AR","Metropolitan","Medium metro"
"2013","05009","05","009","Boone County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05011","05","011","Bradley County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05013","05","013","Calhoun County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05015","05","015","Carroll County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05017","05","017","Chicot County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05019","05","019","Clark County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05021","05","021","Clay County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05023","05","023","Cleburne County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05025","05","025","Cleveland County","Arkansas","AR","Metropolitan","Small metro"
"2013","05027","05","027","Columbia County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05029","05","029","Conway County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05031","05","031","Craighead County","Arkansas","AR","Metropolitan","Small metro"
"2013","05033","05","033","Crawford County","Arkansas","AR","Metropolitan","Medium metro"
"2013","05035","05","035","Crittenden County","Arkansas","AR","Metropolitan","Large fringe metro"
"2013","05037","05","037","Cross County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05039","05","039","Dallas County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05041","05","041","Desha County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05043","05","043","Drew County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05045","05","045","Faulkner County","Arkansas","AR","Metropolitan","Medium metro"
"2013","05047","05","047","Franklin County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05049","05","049","Fulton County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05051","05","051","Garland County","Arkansas","AR","Metropolitan","Small metro"
"2013","05053","05","053","Grant County","Arkansas","AR","Metropolitan","Medium metro"
"2013","05055","05","055","Greene County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05057","05","057","Hempstead County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05059","05","059","Hot Spring County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05061","05","061","Howard County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05063","05","063","Independence County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05065","05","065","Izard County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05067","05","067","Jackson County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05069","05","069","Jefferson County","Arkansas","AR","Metropolitan","Small metro"
"2013","05071","05","071","Johnson County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05073","05","073","Lafayette County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05075","05","075","Lawrence County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05077","05","077","Lee County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05079","05","079","Lincoln County","Arkansas","AR","Metropolitan","Small metro"
"2013","05081","05","081","Little River County","Arkansas","AR","Metropolitan","Small metro"
"2013","05083","05","083","Logan County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05085","05","085","Lonoke County","Arkansas","AR","Metropolitan","Medium metro"
"2013","05087","05","087","Madison County","Arkansas","AR","Metropolitan","Medium metro"
"2013","05089","05","089","Marion County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05091","05","091","Miller County","Arkansas","AR","Metropolitan","Small metro"
"2013","05093","05","093","Mississippi County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05095","05","095","Monroe County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05097","05","097","Montgomery County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05099","05","099","Nevada County","Arkansas","AR","Nonmetropolitan","Noncore"
"2013","05101","05","101","Newton County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05103","05","103","Ouachita County","Arkansas","AR","Nonmetropolitan","Micropolitan"
"2013","05105","05","105","Perry County","Arkansas","AR","Metropolitan","Medium metro"
"2013","05107","05","107","Phillips County","Arkansas","AR","Nonmetropolitan","Micropolitan"
