"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","obese_population_20_over","total_population_inferred_20_over"
"2006","01001","01","001","Autauga County","Alabama","AL","Metropolitan","9912",35527
"2009","01001","01","001","Autauga County","Alabama","AL","Metropolitan","12024",35261
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","11761",38561
"2012","01001","01","001","Autauga County","Alabama","AL","Metropolitan","12184",39430
"2013","01001","01","001","Autauga County","Alabama","AL","Metropolitan","13513",39628
"2008","01001","01","001","Autauga County","Alabama","AL","Metropolitan","11350",36032
"2011","01001","01","001","Autauga County","Alabama","AL","Metropolitan","12340",39425
"2007","01001","01","001","Autauga County","Alabama","AL","Metropolitan","10640",35467
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","36348",136647
"2012","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","38245",143240
"2009","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","34244",134290
"2011","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","35005",140020
"2006","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","30460",127448
"2008","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","33960",129618
"2007","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","31240",127510
"2013","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","40365",147318
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7743",20759
"2009","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","8264",22335
"2008","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","8240",21915
"2011","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","8021",20888
"2006","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7595",20808
"2007","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7591",20854
"2013","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","9186",20689
"2012","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","8482",20789
"2009","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5460",16059
"2008","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5200",16099
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5884",17155
"2006","01007","01","007","Bibb County","Alabama","AL","Metropolitan","4972",15885
"2007","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5062",15968
"2011","01007","01","007","Bibb County","Alabama","AL","Metropolitan","6423",17220
"2013","01007","01","007","Bibb County","Alabama","AL","Metropolitan","6940",17221
"2012","01007","01","007","Bibb County","Alabama","AL","Metropolitan","6926",17272
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","12690",41743
"2009","01009","01","009","Blount County","Alabama","AL","Metropolitan","13759",42997
"2008","01009","01","009","Blount County","Alabama","AL","Metropolitan","13530",42414
"2006","01009","01","009","Blount County","Alabama","AL","Metropolitan","12080",41799
"2007","01009","01","009","Blount County","Alabama","AL","Metropolitan","13120",41651
"2011","01009","01","009","Blount County","Alabama","AL","Metropolitan","13073",42307
"2013","01009","01","009","Blount County","Alabama","AL","Metropolitan","14768",42682
"2012","01009","01","009","Blount County","Alabama","AL","Metropolitan","13789",42559
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3446",8185
"2007","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","2979",7987
"2009","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3146",7985
"2008","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3035",8029
"2011","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3502",8106
"2006","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","2963",8008
"2013","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3482",8098
"2012","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3651",8204
"2007","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5236",14749
"2010","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5892",15384
"2006","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","4711",15003
"2009","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5927",14527
"2008","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5430",14755
"2012","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5514",15317
"2011","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5878",15307
"2013","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5481",15099
"2007","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","27740",83554
"2010","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","29091",87623
"2008","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","28070",83791
"2009","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","28293",84205
"2013","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","28209",87606
"2006","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","27210",83466
"2011","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","27627",87705
"2012","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","28107",87834
"2010","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","9085",25664
"2007","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","9184",25725
"2008","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","9088",25600
"2006","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","8576",25909
"2011","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","10183",25650
"2012","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","10300",25879
"2013","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","10338",26040
"2009","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","9082",25801
"2010","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","6211",19780
"2006","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","5871",19124
"2007","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","5785",18844
"2008","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","5966",18940
"2009","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","5772",18863
"2012","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","6572",20098
"2011","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","6053",19977
"2013","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","6771",20152
"2010","01021","01","021","Chilton County","Alabama","AL","Metropolitan","12123",31653
"2007","01021","01","021","Chilton County","Alabama","AL","Metropolitan","10530",31062
