"year","locale","metro_nonmetro","deaths","totpop"
2006,"US","Metropolitan",15016,252641624
2006,"US","Nonmetropolitan",2529,45738288
2007,"US","Metropolitan",15780,255300617
2007,"US","Nonmetropolitan",2735,45930590
2008,"US","Metropolitan",16663,257996520
2008,"US","Nonmetropolitan",2919,46097446
2009,"US","Metropolitan",17360,260573371
2009,"US","Nonmetropolitan",3062,46198158
2010,"US","Metropolitan",17852,262452132
2010,"US","Nonmetropolitan",3236,46293406
2011,"US","Metropolitan",19344,265270604
2011,"US","Nonmetropolitan",3440,46321313
2012,"US","Metropolitan",19778,267664440
2012,"US","Nonmetropolitan",3386,46249600
2013,"US","Metropolitan",21563,269911242
2013,"US","Nonmetropolitan",3487,46217597
2014,"US","Metropolitan",24676,272667942
2014,"US","Nonmetropolitan",3971,46189114
2015,"US","Metropolitan",28709,275252217
2015,"US","Nonmetropolitan",4382,46166603
