"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","inactive_population_20_over","total_population_inferred_20_over"
"2006","01001","01","001","Autauga County","Alabama","AL","Metropolitan","11210",35587
"2009","01001","01","001","Autauga County","Alabama","AL","Metropolitan","11364",35292
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","11310",38469
"2012","01001","01","001","Autauga County","Alabama","AL","Metropolitan","11310",39408
"2013","01001","01","001","Autauga County","Alabama","AL","Metropolitan","11342",39657
"2008","01001","01","001","Autauga County","Alabama","AL","Metropolitan","11760",35963
"2011","01001","01","001","Autauga County","Alabama","AL","Metropolitan","10974",39333
"2007","01001","01","001","Autauga County","Alabama","AL","Metropolitan","11690",35424
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","37735",136721
"2012","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","36100",143254
"2009","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","33702",134271
"2011","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","35217",139750
"2006","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","33360",127328
"2008","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","32740",129921
"2007","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","31300",127755
"2013","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","32856",147336
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7271",20774
"2009","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7633",22319
"2008","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7657",21940
"2011","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","6744",20879
"2006","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7242",20810
"2007","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7097",20874
"2013","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","6578",20686
"2012","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","6829",20757
"2009","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5962",16027
"2008","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5890",16093
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","6341",17138
"2006","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5627",15895
"2007","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5741",15947
"2011","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5722",17235
"2013","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5846",17245
"2012","01007","01","007","Bibb County","Alabama","AL","Metropolitan","5730",17259
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","14633",41809
"2009","01009","01","009","Blount County","Alabama","AL","Metropolitan","15396",42886
"2008","01009","01","009","Blount County","Alabama","AL","Metropolitan","14680",42428
"2006","01009","01","009","Blount County","Alabama","AL","Metropolitan","12670",41815
