"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","povertyest","population_inferred"
"2009","01001","01","001","Autauga County","Alabama","AL","Metropolitan","5653",50473
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","7204",54992
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","6459",54277
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","6966",54850
"2013","01001","01","001","Autauga County","Alabama","AL","Metropolitan","7397",54793
"2012","01001","01","001","Autauga County","Alabama","AL","Metropolitan","7017",55252
"2011","01001","01","001","Autauga County","Alabama","AL","Metropolitan","8152",54711
"2009","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","23590",177368
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","25696",197662
"2013","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","27429",193162
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","25941",201093
"2011","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","24728",184537
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","24056",180872
"2012","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","26177",188324
"2013","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","6654",23596
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","5943",23398
"2011","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7051",23902
"2009","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","8676",26451
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","7380",23062
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","6098",24103
"2012","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","6892",23766
"2009","01007","01","007","Bibb County","Alabama","AL","Metropolitan","3658",20210
"2013","01007","01","007","Bibb County","Alabama","AL","Metropolitan","4689",20299
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","4516",20342
"2011","01007","01","007","Bibb County","Alabama","AL","Metropolitan","4562",20550
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","3666",20254
"2012","01007","01","007","Bibb County","Alabama","AL","Metropolitan","4371",20330
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","4316",20651
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","10000",57143
"2011","01009","01","009","Blount County","Alabama","AL","Metropolitan","8505",57081
"2009","01009","01","009","Blount County","Alabama","AL","Metropolitan","8457",57925
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","8399",57136
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","9358",56715
"2013","01009","01","009","Blount County","Alabama","AL","Metropolitan","9878",57430
"2012","01009","01","009","Blount County","Alabama","AL","Metropolitan","9264",57185
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3179",9057
"2013","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3123",8872
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3544",8949
"2011","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","2909",8869
"2009","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","3230",9308
"2012","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","2848",8817
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","2866",9215
"2013","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5731",19899
"2011","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","4902",20340
"2010","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5791",20609
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","4988",19952
"2009","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5792",19701
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5100",19767
"2012","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","5247",19951
"2010","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","27152",115540
"2011","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","23974",114708
"2013","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","24338",113729
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","22579",112895
"2012","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","24533",114640
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","23114",112751
"2009","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","21134",111232
"2010","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","9618",33747
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","7532",33625
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","7170",33662
"2013","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","7578",33680
"2011","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","7923",33430
"2009","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","6974",33691
"2012","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","7210",33535
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","4768",25634
"2013","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","5199",25866
