"year","locale","metro_nonmetro","race","race_pop_change_2010_2015"
"2015","US","Metropolitan","American Indian or Alaska Native",0.0408812422024063
"2015","US","Metropolitan","Asian",0.144788077622078
"2015","US","Metropolitan","Black",0.0562350312791823
"2015","US","Metropolitan","Hawaiian/Pacific Islander",0.101061475716785
"2015","US","Metropolitan","Multiple or other",0.0156853202269691
"2015","US","Metropolitan","White",0.0431142955399945
"2015","US","Nonmetropolitan","American Indian or Alaska Native",0.0273122217972087
"2015","US","Nonmetropolitan","Asian",0.133705272826586
"2015","US","Nonmetropolitan","Black",0.0021228700510936
"2015","US","Nonmetropolitan","Hawaiian/Pacific Islander",0.196886016451234
"2015","US","Nonmetropolitan","Multiple or other",0.0181749273177913
"2015","US","Nonmetropolitan","White",0.000897080628184314
