"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","race","race_population","total_population"
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","American Indian or Alaska Native",168,53155
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Black",9508,53155
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",0,53155
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Multiple or other",1100,53155
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","White",42031,53155
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Asian",348,53155
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Black",16613,175791
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","White",151453,175791
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Asian",1149,175791
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","American Indian or Alaska Native",1090,175791
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Multiple or other",5480,175791
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",6,175791
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","White",13759,27699
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Black",12911,27699
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Multiple or other",893,27699
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Asian",46,27699
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",87,27699
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",3,27699
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",0,22610
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","White",19038,22610
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Black",3450,22610
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Multiple or other",46,22610
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Asian",36,22610
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","American Indian or Alaska Native",40,22610
