"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","births_15_to_19","female_population_15_to_19"
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","462","14251"
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","1528","40190"
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","316","5354"
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","224","4716"
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","546","12630"
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","174","2237"
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","239","4283"
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","1247","27941"
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","456","7609"
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","249","5089"
"2014","01021","01","021","Chilton County","Alabama","AL","Metropolitan","543","9581"
"2014","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","119","3120"
"2014","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","271","6718"
"2014","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","142","3050"
"2014","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","185","3417"
"2014","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","431","11548"
"2014","01033","01","033","Colbert County","Alabama","AL","Metropolitan","562","11845"
"2014","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","149","2939"
"2014","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","110","2217"
"2014","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","500","7892"
"2014","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","159","3064"
"2014","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","925","17609"
"2014","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","437","10289"
"2014","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","688","11264"
"2014","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","864","16283"
"2014","01051","01","051","Elmore County","Alabama","AL","Metropolitan","728","18445"
"2014","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","521","8234"
"2014","01055","01","055","Etowah County","Alabama","AL","Metropolitan","1144","23226"
"2014","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","172","3669"
"2014","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","404","7251"
"2014","01061","01","061","Geneva County","Alabama","AL","Metropolitan","305","5685"
"2014","01063","01","063","Greene County","Alabama","AL","Nonmetropolitan","105","2146"
"2014","01065","01","065","Hale County","Alabama","AL","Metropolitan","178","4132"
"2014","01067","01","067","Henry County","Alabama","AL","Metropolitan","163","3762"
"2014","01069","01","069","Houston County","Alabama","AL","Metropolitan","1115","22617"
"2014","01071","01","071","Jackson County","Alabama","AL","Nonmetropolitan","567","11268"
"2014","01073","01","073","Jefferson County","Alabama","AL","Metropolitan","6277","150158"
"2014","01075","01","075","Lamar County","Alabama","AL","Nonmetropolitan","139","2990"
"2014","01077","01","077","Lauderdale County","Alabama","AL","Metropolitan","662","22536"
"2014","01079","01","079","Lawrence County","Alabama","AL","Metropolitan","383","7705"
"2014","01081","01","081","Lee County","Alabama","AL","Metropolitan","993","46084"
"2014","01083","01","083","Limestone County","Alabama","AL","Metropolitan","614","18265"
"2014","01085","01","085","Lowndes County","Alabama","AL","Metropolitan","136","2852"
"2014","01087","01","087","Macon County","Alabama","AL","Nonmetropolitan","226","7861"
"2014","01089","01","089","Madison County","Alabama","AL","Metropolitan","2339","82485"
