"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","unemployed","civilian_labor_force"
"2011","01001","01","001","Autauga County","Alabama","AL","Metropolitan","2159","25836"
"2014","01001","01","001","Autauga County","Alabama","AL","Metropolitan","1500","25597"
"2012","01001","01","001","Autauga County","Alabama","AL","Metropolitan","1780","25724"
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","1327","25308"
"2013","01001","01","001","Autauga County","Alabama","AL","Metropolitan","1605","25731"
"2010","01001","01","001","Autauga County","Alabama","AL","Metropolitan","2282","25713"
"2007","01001","01","001","Autauga County","Alabama","AL","Metropolitan","806","24383"
"2009","01001","01","001","Autauga County","Alabama","AL","Metropolitan","2402","24703"
"2008","01001","01","001","Autauga County","Alabama","AL","Metropolitan","1267","24687"
"2007","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","2560","82659"
"2008","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","3851","83223"
"2014","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","5316","86400"
"2010","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","8339","83459"
"2011","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","7627","85045"
"2013","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","5651","85018"
"2009","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","8048","82451"
"2012","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","6353","84362"
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","4791","87316"
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","771","8625"
"2014","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","936","8849"
"2007","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","650","10334"
"2011","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","1137","9849"
"2012","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","1080","9357"
"2013","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","931","9073"
"2008","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","894","10161"
"2010","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","1262","10221"
"2009","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","1431","10003"
"2014","01007","01","007","Bibb County","Alabama","AL","Metropolitan","618","8560"
"2011","01007","01","007","Bibb County","Alabama","AL","Metropolitan","937","8933"
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","561","8490"
"2009","01007","01","007","Bibb County","Alabama","AL","Metropolitan","1161","8742"
"2012","01007","01","007","Bibb County","Alabama","AL","Metropolitan","752","8793"
"2013","01007","01","007","Bibb County","Alabama","AL","Metropolitan","689","8679"
"2007","01007","01","007","Bibb County","Alabama","AL","Metropolitan","359","8791"
"2008","01007","01","007","Bibb County","Alabama","AL","Metropolitan","508","8749"
"2010","01007","01","007","Bibb County","Alabama","AL","Metropolitan","1020","8934"
"2011","01009","01","009","Blount County","Alabama","AL","Metropolitan","2184","25123"
"2014","01009","01","009","Blount County","Alabama","AL","Metropolitan","1509","24532"
"2008","01009","01","009","Blount County","Alabama","AL","Metropolitan","1245","26698"
"2013","01009","01","009","Blount County","Alabama","AL","Metropolitan","1561","24810"
"2009","01009","01","009","Blount County","Alabama","AL","Metropolitan","2648","26480"
"2012","01009","01","009","Blount County","Alabama","AL","Metropolitan","1718","24945"
"2007","01009","01","009","Blount County","Alabama","AL","Metropolitan","849","26629"
"2010","01009","01","009","Blount County","Alabama","AL","Metropolitan","2446","24906"
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","1316","24352"
"2008","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","383","3634"
"2007","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","345","3653"
"2011","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","561","4833"
"2013","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","448","4765"
"2010","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","585","4941"
"2009","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","583","3739"
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","371","4773"
"2014","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","419","4733"
"2012","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","492","4734"
"2011","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","1146","9188"
"2007","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","560","9099"
"2009","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","1489","9104"
"2012","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","1050","9083"
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","690","9142"
"2014","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","795","9272"
"2008","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","773","9051"
"2010","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","1263","9261"
"2013","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","941","9120"
"2008","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","3096","54564"
"2007","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","2152","54861"
"2011","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","5305","51268"
"2010","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","5860","51559"
"2012","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","4400","49619"
"2009","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","5996","53925"
"2013","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","4228","48245"
"2014","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","3773","47240"
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","3214","46051"
"2011","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","1820","15200"
"2008","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","2164","15012"
"2013","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","1217","15229"
"2009","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","2873","14650"
"2012","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","1495","15132"
"2007","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","1005","15474"
"2014","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","1029","15305"
"2010","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","2200","14754"
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","908","15100"
"2013","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","753","11368"
"2007","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","500","11984"
"2014","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","663","11388"
"2009","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","1374","11758"
"2008","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","688","11996"
"2012","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","905","11261"
"2011","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","1112","11476"
"2010","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","1219","11464"
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","609","11197"
"2014","01021","01","021","Chilton County","Alabama","AL","Metropolitan","1200","19099"
"2012","01021","01","021","Chilton County","Alabama","AL","Metropolitan","1402","19371"
"2007","01021","01","021","Chilton County","Alabama","AL","Metropolitan","670","19737"
"2011","01021","01","021","Chilton County","Alabama","AL","Metropolitan","1786","19539"
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","1078","19021"
"2013","01021","01","021","Chilton County","Alabama","AL","Metropolitan","1269","19300"
"2008","01021","01","021","Chilton County","Alabama","AL","Metropolitan","992","19610"
"2009","01021","01","021","Chilton County","Alabama","AL","Metropolitan","2070","19445"
"2010","01021","01","021","Chilton County","Alabama","AL","Metropolitan","1998","19462"
"2009","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","692","5134"
"2007","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","308","5183"
"2011","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","626","4764"
"2014","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","407","4495"
"2012","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","495","4789"
"2010","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","644","4860"
"2008","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","423","5069"
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","399","4378"
"2013","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","434","4690"
"2007","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","628","10358"
"2012","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","1259","8369"
"2008","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","932","10351"
"2011","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","1662","8843"
"2010","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","1808","9108"
"2013","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","1140","8261"
"2014","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","996","8157"
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","940","7994"
"2009","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","1717","10381"
"2007","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","338","6113"
"2014","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","397","5514"
"2012","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","508","5410"
"2009","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","940","5643"
"2008","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","454","5733"
"2011","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","663","5598"
"2010","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","846","5851"
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","340","5526"
"2013","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","451","5378"
"2013","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","447","5813"
"2012","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","480","5834"
"2010","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","604","6033"
"2009","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","663","6514"
"2014","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","388","5855"
"2007","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","237","6483"
"2011","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","574","5939"
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","341","5665"
"2008","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","332","6557"
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","1201","20310"
