"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","sex","sex_vet_population","total_population_both_sexes"
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Female",498,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Male",5008,5506
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Female",1632,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Male",17976,19608
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Male",1917,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Female",125,2042
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Female",76,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Male",1106,1182
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","Male",4125,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","Female",235,4360
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Female",90,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Male",338,428
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Male",1412,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Female",45,1457
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Female",994,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Male",9873,10867
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Male",2217,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Female",233,2450
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Female",78,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Male",2259,2337
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Female",359,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Male",2917,3276
