"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","vetpop","totpop"
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","5506","40732"
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","19608","151238"
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","2042","21194"
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","1182","17682"
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","4360","43993"
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","428","8444"
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","1457","15594"
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","10867","90265"
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","2450","26686"
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","2337","20662"
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","3276","33191"
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","873","10577"
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","1397","19316"
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","1129","10557"
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","788","11521"
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","6616","37382"
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","4064","42562"
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","971","10019"
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","845","8982"
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","3221","29441"
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","924","10695"
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","5728","62642"
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","6543","35685"
"2015","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","2539","31357"
"2015","01049","01","049","DeKalb County","Alabama","AL","Nonmetropolitan","4089","53176"
"2015","01051","01","051","Elmore County","Alabama","AL","Metropolitan","7425","61693"
"2015","01053","01","053","Escambia County","Alabama","AL","Nonmetropolitan","2680","29491"
"2015","01055","01","055","Etowah County","Alabama","AL","Metropolitan","7819","80563"
"2015","01057","01","057","Fayette County","Alabama","AL","Nonmetropolitan","1230","13225"
"2015","01059","01","059","Franklin County","Alabama","AL","Nonmetropolitan","1409","23965"
"2015","01061","01","061","Geneva County","Alabama","AL","Metropolitan","2223","20763"
"2015","01063","01","063","Greene County","Alabama","AL","Nonmetropolitan","464","6669"
"2015","01065","01","065","Hale County","Alabama","AL","Metropolitan","844","11648"
"2015","01067","01","067","Henry County","Alabama","AL","Metropolitan","1265","13558"
"2015","01069","01","069","Houston County","Alabama","AL","Metropolitan","9016","78602"
"2015","01071","01","071","Jackson County","Alabama","AL","Nonmetropolitan","3418","41286"
"2015","01073","01","073","Jefferson County","Alabama","AL","Metropolitan","42178","505884"
"2015","01075","01","075","Lamar County","Alabama","AL","Nonmetropolitan","1029","11035"
"2015","01077","01","077","Lauderdale County","Alabama","AL","Metropolitan","6507","73472"
"2015","01079","01","079","Lawrence County","Alabama","AL","Metropolitan","1921","26133"
"2015","01081","01","081","Lee County","Alabama","AL","Metropolitan","10027","117060"
"2015","01083","01","083","Limestone County","Alabama","AL","Metropolitan","6675","67916"
"2015","01085","01","085","Lowndes County","Alabama","AL","Metropolitan","484","8193"
"2015","01087","01","087","Macon County","Alabama","AL","Nonmetropolitan","1433","16270"
"2015","01089","01","089","Madison County","Alabama","AL","Metropolitan","33094","266683"
"2015","01091","01","091","Marengo County","Alabama","AL","Nonmetropolitan","970","15560"
"2015","01093","01","093","Marion County","Alabama","AL","Nonmetropolitan","2073","23925"
"2015","01095","01","095","Marshall County","Alabama","AL","Nonmetropolitan","6620","71065"
"2015","01097","01","097","Mobile County","Alabama","AL","Metropolitan","30686","313103"
"2015","01099","01","099","Monroe County","Alabama","AL","Nonmetropolitan","1179","16842"
"2015","01101","01","101","Montgomery County","Alabama","AL","Metropolitan","18656","170803"
"2015","01103","01","103","Morgan County","Alabama","AL","Metropolitan","8933","91782"
"2015","01105","01","105","Perry County","Alabama","AL","Nonmetropolitan","612","7740"
"2015","01107","01","107","Pickens County","Alabama","AL","Metropolitan","1389","15580"
"2015","01109","01","109","Pike County","Alabama","AL","Nonmetropolitan","2090","26596"
"2015","01111","01","111","Randolph County","Alabama","AL","Nonmetropolitan","1705","17573"
"2015","01113","01","113","Russell County","Alabama","AL","Metropolitan","5898","42105"
"2015","01115","01","115","St. Clair County","Alabama","AL","Metropolitan","6526","65890"
"2015","01117","01","117","Shelby County","Alabama","AL","Metropolitan","13159","153227"
"2015","01119","01","119","Sumter County","Alabama","AL","Nonmetropolitan","644","10648"
"2015","01121","01","121","Talladega County","Alabama","AL","Nonmetropolitan","5853","63246"
"2015","01123","01","123","Tallapoosa County","Alabama","AL","Nonmetropolitan","3306","32304"
"2015","01125","01","125","Tuscaloosa County","Alabama","AL","Metropolitan","10654","158327"
