"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","race","vet_race_population","total_vet_population_all_races"
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Black",594,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","American Indian or Alaska Native",8,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Asian",0,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","White",4860,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Multiple or other",44,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",0,5506
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Black",1265,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","American Indian or Alaska Native",160,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","White",17856,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Multiple or other",242,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Asian",85,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",0,19608
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","White",1307,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",37,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Asian",6,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Black",664,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Multiple or other",28,2042
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Black",133,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","American Indian or Alaska Native",0,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Asian",0,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Multiple or other",23,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",0,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","White",1026,1182
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","White",4105,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","Black",80,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","American Indian or Alaska Native",23,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","Asian",1,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",0,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","Multiple or other",151,4360
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",0,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Asian",9,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Multiple or other",0,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","White",206,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Black",213,428
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",0,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Asian",0,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","White",928,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Black",500,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Multiple or other",29,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,1457
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Multiple or other",234,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Black",2044,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",0,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","White",8526,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","American Indian or Alaska Native",33,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Asian",30,10867
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","White",1814,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Asian",3,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Black",606,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",17,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Multiple or other",10,2450
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Multiple or other",34,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Black",124,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",40,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","White",2139,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Asian",0,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,2337
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","White",2863,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Black",240,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",0,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Multiple or other",76,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","American Indian or Alaska Native",97,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Asian",0,3276
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","Multiple or other",6,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","Black",306,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",0,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","Asian",0,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","White",561,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,873
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","Black",461,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",0,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","Asian",7,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","Multiple or other",0,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","White",929,1397
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","White",997,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","Black",124,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","Asian",0,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","Multiple or other",8,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",0,1129
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",0,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","Asian",0,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","Multiple or other",0,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","Black",26,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","White",762,788
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","Black",742,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",59,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","White",5654,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","Multiple or other",127,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","Asian",34,6616
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","Multiple or other",83,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","Asian",0,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","Hawaiian/Pacific Islander",8,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","White",3226,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","Black",721,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","American Indian or Alaska Native",26,4064
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","American Indian or Alaska Native",0,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","Asian",0,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","White",682,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","Black",289,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","Multiple or other",0,971
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","Hawaiian/Pacific Islander",0,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","White",685,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","Black",160,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","Multiple or other",0,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","Asian",0,845
