"year","fips","state_fips","county_fips","county_name","state_name","state_abbr","metro_nonmetro","disability_level","vet_dislevel_population","vet_population_all_disability_levels"
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","None",3770,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","0%",20,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","10 or 20%",515,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","Unknown",112,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","50 or 60%",321,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","70% and over",559,5506
"2015","01001","01","001","Autauga County","Alabama","AL","Metropolitan","30 or 40%",209,5506
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","50 or 60%",534,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","70% and over",596,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","30 or 40%",450,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","0%",102,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","None",16625,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","Unknown",252,19608
"2015","01003","01","003","Baldwin County","Alabama","AL","Metropolitan","10 or 20%",1049,19608
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","Unknown",133,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","50 or 60%",42,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","0%",26,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","10 or 20%",103,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","30 or 40%",129,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","70% and over",141,2042
"2015","01005","01","005","Barbour County","Alabama","AL","Nonmetropolitan","None",1468,2042
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","10 or 20%",58,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","0%",7,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","70% and over",80,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","50 or 60%",2,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","None",960,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","30 or 40%",45,1182
"2015","01007","01","007","Bibb County","Alabama","AL","Metropolitan","Unknown",30,1182
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","0%",7,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","70% and over",217,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","10 or 20%",170,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","30 or 40%",105,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","None",3726,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","Unknown",45,4360
"2015","01009","01","009","Blount County","Alabama","AL","Metropolitan","50 or 60%",90,4360
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","70% and over",24,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","0%",8,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","None",317,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","50 or 60%",0,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","30 or 40%",0,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","Unknown",41,428
"2015","01011","01","011","Bullock County","Alabama","AL","Nonmetropolitan","10 or 20%",38,428
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","70% and over",82,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","10 or 20%",58,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","0%",31,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","None",1138,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","30 or 40%",23,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","50 or 60%",57,1457
"2015","01013","01","013","Butler County","Alabama","AL","Nonmetropolitan","Unknown",68,1457
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","70% and over",827,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","None",7762,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","0%",187,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","30 or 40%",522,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","Unknown",222,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","50 or 60%",325,10867
"2015","01015","01","015","Calhoun County","Alabama","AL","Metropolitan","10 or 20%",1022,10867
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","0%",57,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","70% and over",276,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","30 or 40%",72,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","None",1881,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","50 or 60%",30,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","Unknown",30,2450
"2015","01017","01","017","Chambers County","Alabama","AL","Nonmetropolitan","10 or 20%",104,2450
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","50 or 60%",30,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","0%",6,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","Unknown",0,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","None",1915,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","70% and over",120,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","10 or 20%",183,2337
"2015","01019","01","019","Cherokee County","Alabama","AL","Nonmetropolitan","30 or 40%",83,2337
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","10 or 20%",127,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","0%",14,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","70% and over",202,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","None",2629,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","30 or 40%",118,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","50 or 60%",123,3276
"2015","01021","01","021","Chilton County","Alabama","AL","Metropolitan","Unknown",63,3276
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","10 or 20%",59,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","70% and over",37,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","50 or 60%",9,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","Unknown",15,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","0%",0,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","None",746,873
"2015","01023","01","023","Choctaw County","Alabama","AL","Nonmetropolitan","30 or 40%",7,873
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","70% and over",28,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","10 or 20%",55,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","0%",30,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","None",1109,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","50 or 60%",26,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","30 or 40%",76,1397
"2015","01025","01","025","Clarke County","Alabama","AL","Nonmetropolitan","Unknown",73,1397
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","10 or 20%",84,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","70% and over",93,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","50 or 60%",12,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","0%",0,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","30 or 40%",74,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","None",852,1129
"2015","01027","01","027","Clay County","Alabama","AL","Nonmetropolitan","Unknown",14,1129
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","None",683,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","50 or 60%",13,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","0%",7,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","30 or 40%",22,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","70% and over",26,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","Unknown",4,788
"2015","01029","01","029","Cleburne County","Alabama","AL","Nonmetropolitan","10 or 20%",33,788
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","30 or 40%",524,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","70% and over",618,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","Unknown",82,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","50 or 60%",353,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","None",4218,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","10 or 20%",725,6616
"2015","01031","01","031","Coffee County","Alabama","AL","Nonmetropolitan","0%",96,6616
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","10 or 20%",134,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","50 or 60%",77,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","0%",16,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","30 or 40%",114,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","None",3392,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","70% and over",284,4064
"2015","01033","01","033","Colbert County","Alabama","AL","Metropolitan","Unknown",47,4064
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","50 or 60%",30,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","0%",17,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","70% and over",102,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","30 or 40%",30,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","None",773,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","Unknown",0,971
"2015","01035","01","035","Conecuh County","Alabama","AL","Nonmetropolitan","10 or 20%",19,971
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","0%",4,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","50 or 60%",8,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","30 or 40%",21,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","None",645,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","Unknown",54,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","10 or 20%",52,845
"2015","01037","01","037","Coosa County","Alabama","AL","Nonmetropolitan","70% and over",61,845
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","0%",16,3221
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","None",2531,3221
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","30 or 40%",128,3221
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","Unknown",74,3221
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","70% and over",204,3221
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","10 or 20%",209,3221
"2015","01039","01","039","Covington County","Alabama","AL","Nonmetropolitan","50 or 60%",59,3221
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","0%",0,924
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","50 or 60%",4,924
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","70% and over",19,924
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","None",737,924
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","30 or 40%",40,924
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","Unknown",9,924
"2015","01041","01","041","Crenshaw County","Alabama","AL","Nonmetropolitan","10 or 20%",115,924
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","70% and over",179,5728
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","50 or 60%",67,5728
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","None",4987,5728
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","30 or 40%",114,5728
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","Unknown",71,5728
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","0%",24,5728
"2015","01043","01","043","Cullman County","Alabama","AL","Nonmetropolitan","10 or 20%",286,5728
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","50 or 60%",347,6543
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","None",4460,6543
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","0%",94,6543
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","30 or 40%",424,6543
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","Unknown",121,6543
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","70% and over",532,6543
"2015","01045","01","045","Dale County","Alabama","AL","Nonmetropolitan","10 or 20%",565,6543
"2015","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","0%",21,2539
"2015","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","None",2043,2539
"2015","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","10 or 20%",127,2539
"2015","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","Unknown",120,2539
"2015","01047","01","047","Dallas County","Alabama","AL","Nonmetropolitan","70% and over",176,2539
